"Date","Price","Open","High","Low","Change %"
"Mar 03, 2021","10.7647","10.7851","10.8048","10.7598","-0.09%"
"Mar 02, 2021","10.7748","10.7746","10.8032","10.7308","0.13%"
"Mar 01, 2021","10.7611","10.7910","10.8223","10.7514","-0.16%"
"Feb 26, 2021","10.7781","10.8515","10.8558","10.7759","-0.41%"
"Feb 25, 2021","10.8225","10.8408","10.8790","10.8112","-0.11%"
"Feb 24, 2021","10.8341","10.8247","10.8603","10.8083","0.13%"
"Feb 23, 2021","10.8204","10.8244","10.8403","10.8023","0.06%"
"Feb 22, 2021","10.8141","10.7787","10.8408","10.7725","0.32%"
"Feb 19, 2021","10.7796","10.7820","10.8214","10.7697","0.05%"
"Feb 18, 2021","10.7743","10.7834","10.7962","10.7486","0.00%"
"Feb 17, 2021","10.7741","10.8305","10.8351","10.7618","-0.43%"
"Feb 16, 2021","10.8211","10.8326","10.8602","10.8092","-0.01%"
"Feb 15, 2021","10.8225","10.8334","10.8695","10.8124","-0.18%"
"Feb 12, 2021","10.8419","10.8435","10.8661","10.8119","0.08%"
"Feb 11, 2021","10.8332","10.8259","10.8555","10.8123","0.16%"
"Feb 10, 2021","10.8157","10.8219","10.8426","10.7988","0.04%"
"Feb 09, 2021","10.8116","10.7905","10.8302","10.7805","0.18%"
"Feb 08, 2021","10.7921","10.8085","10.8247","10.7739","-0.07%"
"Feb 05, 2021","10.8001","10.7901","10.8264","10.7666","0.14%"
"Feb 04, 2021","10.7853","10.8133","10.8308","10.7711","-0.22%"
"Feb 03, 2021","10.8090","10.8270","10.8385","10.7871","-0.12%"
"Feb 02, 2021","10.8217","10.8256","10.8489","10.7922","-0.01%"
"Feb 01, 2021","10.8230","10.8459","10.8747","10.8122","-0.21%"
"Jan 29, 2021","10.8455","10.8722","10.8852","10.8386","-0.11%"
"Jan 28, 2021","10.8574","10.8605","10.8867","10.8349","0.05%"
"Jan 27, 2021","10.8520","10.8940","10.9057","10.8335","-0.34%"
"Jan 26, 2021","10.8887","10.8932","10.9081","10.8674","0.00%"
"Jan 25, 2021","10.8882","10.8579","10.9150","10.8501","0.37%"
"Jan 22, 2021","10.8485","10.8690","10.8982","10.8509","-0.09%"
"Jan 21, 2021","10.8587","10.8570","10.8886","10.8405","0.11%"
"Jan 20, 2021","10.8468","10.8280","10.8771","10.8102","0.27%"
"Jan 19, 2021","10.8174","10.8104","10.8478","10.7912","0.16%"
"Jan 18, 2021","10.8002","10.7795","10.8234","10.7631","0.12%"
"Jan 15, 2021","10.7871","10.7902","10.8170","10.7598","0.04%"
"Jan 14, 2021","10.7831","10.7872","10.8060","10.7558","0.04%"
"Jan 13, 2021","10.7783","10.7858","10.8019","10.7567","0.04%"
"Jan 12, 2021","10.7737","10.7044","10.7948","10.6747","0.75%"
"Jan 11, 2021","10.6933","10.7798","10.7886","10.7009","-0.76%"
"Jan 08, 2021","10.7753","10.8165","10.8245","10.7687","-0.28%"
"Jan 07, 2021","10.8052","10.8358","10.8606","10.7909","-0.19%"
"Jan 06, 2021","10.8259","10.8489","10.8720","10.8161","-0.13%"
"Jan 05, 2021","10.8403","10.8664","10.8793","10.8191","-0.14%"
"Jan 04, 2021","10.8552","10.8914","10.9195","10.8434","0.47%"
"Jan 01, 2021","10.8047","10.8828","10.8918","10.8040","-0.62%"
"Dec 31, 2020","10.8716","10.9435","10.9673","10.8666","-0.56%"
"Dec 30, 2020","10.9333","10.9349","10.9710","10.9128","0.08%"
"Dec 29, 2020","10.9243","10.9370","10.9569","10.9087","-0.02%"
"Dec 28, 2020","10.9267","10.9291","10.9587","10.8995","-0.01%"
"Dec 25, 2020","10.9278","10.9298","10.9503","10.8961","0.08%"
"Dec 24, 2020","10.9195","10.9438","10.9769","10.9097","-0.12%"
"Dec 23, 2020","10.9325","10.9404","10.9730","10.9157","0.02%"
"Dec 22, 2020","10.9301","10.9663","10.9806","10.9155","-0.28%"
"Dec 21, 2020","10.9606","10.8682","10.9782","10.8118","0.73%"
"Dec 18, 2020","10.8815","10.9019","10.9246","10.8692","-0.14%"
"Dec 17, 2020","10.8971","10.8665","10.9131","10.8420","0.32%"
"Dec 16, 2020","10.8618","10.8821","10.9074","10.8181","-0.10%"
"Dec 15, 2020","10.8727","10.8968","10.9174","10.8600","-0.14%"
"Dec 14, 2020","10.8878","10.8941","10.9227","10.8750","0.02%"
"Dec 11, 2020","10.8857","10.8975","10.9189","10.8738","-0.07%"
"Dec 10, 2020","10.8935","10.8834","10.9195","10.8635","0.14%"
"Dec 09, 2020","10.8782","10.8912","10.9186","10.8618","-0.07%"
"Dec 08, 2020","10.8863","10.8997","10.9186","10.8747","-0.02%"
"Dec 07, 2020","10.8886","10.8888","10.9283","10.8771","0.03%"
"Dec 04, 2020","10.8852","10.9128","10.9345","10.8837","-0.20%"
"Dec 03, 2020","10.9073","10.9286","10.9397","10.9002","-0.14%"
"Dec 02, 2020","10.9229","10.9046","10.9361","10.8900","0.20%"
"Dec 01, 2020","10.9016","10.8576","10.9150","10.8353","0.43%"
"Nov 30, 2020","10.8547","10.8524","10.8935","10.8339","0.18%"
"Nov 27, 2020","10.8354","10.8329","10.8622","10.8152","0.10%"
"Nov 26, 2020","10.8250","10.8302","10.8504","10.8133","-0.01%"
"Nov 25, 2020","10.8262","10.8202","10.8442","10.8004","0.10%"
"Nov 24, 2020","10.8149","10.8048","10.8338","10.7847","0.13%"
"Nov 23, 2020","10.8009","10.7872","10.8350","10.7798","0.03%"
"Nov 20, 2020","10.7978","10.8275","10.8395","10.7863","-0.18%"
"Nov 19, 2020","10.8174","10.8119","10.8351","10.7921","0.14%"
"Nov 18, 2020","10.8023","10.8254","10.8425","10.8002","-0.12%"
"Nov 17, 2020","10.8153","10.8251","10.8456","10.8090","-0.07%"
"Nov 16, 2020","10.8231","10.8064","10.8402","10.7930","0.12%"
"Nov 13, 2020","10.8101","10.8091","10.8294","10.7876","0.04%"
"Nov 12, 2020","10.8053","10.8003","10.8255","10.7818","0.09%"
"Nov 11, 2020","10.7959","10.8077","10.8455","10.7790","-0.12%"
"Nov 10, 2020","10.8084","10.8138","10.8432","10.7918","-0.01%"
"Nov 09, 2020","10.8094","10.8242","10.8574","10.7935","-0.04%"
"Nov 06, 2020","10.8134","10.8125","10.8492","10.7919","0.00%"
"Nov 05, 2020","10.8132","10.7895","10.8359","10.7634","0.33%"
"Nov 04, 2020","10.7777","10.7788","10.8077","10.7313","0.09%"
"Nov 03, 2020","10.7677","10.7548","10.7941","10.7369","0.17%"
"Nov 02, 2020","10.7491","10.7612","10.7694","10.7288","0.02%"
"Oct 30, 2020","10.7466","10.7662","10.7829","10.7407","-0.13%"
"Oct 29, 2020","10.7605","10.7934","10.8021","10.7429","-0.22%"
"Oct 28, 2020","10.7847","10.8067","10.8161","10.7691","-0.17%"
"Oct 27, 2020","10.8033","10.8252","10.8463","10.7927","-0.10%"
"Oct 26, 2020","10.8141","10.8468","10.8549","10.8082","-0.32%"
"Oct 23, 2020","10.8486","10.8361","10.8768","10.8190","0.20%"
"Oct 22, 2020","10.8269","10.8591","10.8646","10.8170","-0.21%"
"Oct 21, 2020","10.8501","10.8219","10.8717","10.8109","0.35%"
"Oct 20, 2020","10.8118","10.8106","10.8449","10.7907","0.08%"
"Oct 19, 2020","10.8030","10.7802","10.8273","10.7533","0.17%"
"Oct 16, 2020","10.7850","10.7948","10.8097","10.7731","-0.05%"
"Oct 15, 2020","10.7900","10.8147","10.8305","10.7731","-0.15%"
"Oct 14, 2020","10.8060","10.8304","10.8408","10.7977","-0.18%"
"Oct 13, 2020","10.8256","10.8602","10.8673","10.8105","-0.18%"
"Oct 12, 2020","10.8449","10.8680","10.8802","10.8326","-0.21%"
"Oct 09, 2020","10.8677","10.8710","10.8954","10.8364","-0.05%"
"Oct 08, 2020","10.8726","10.8863","10.9070","10.8505","-0.08%"
"Oct 07, 2020","10.8815","10.8680","10.9043","10.8606","0.22%"
